==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 293501
  Task Name   : large-2023
  Dataset     : Datasets/cdcl_dimacs/large/cnfs/2023
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Timeout     : 5000s
  Nodes       : 12  (32 cpus/node)
  Total Files : 296
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 44 964162c1faee2c1e3a4dfa4f9c75c34f-php18-mix...    526    5477 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 45 19c6a29181bee2f3aa03bfb5c5d693d0-brent_9_0...  10449   45927 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 46 faeb113864d97ea4cb3f01f95d2fe92f-SCPC-800-...    800   33695 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 47 9fe43145e48a0ef0096bb72531f1a0e3-16_1.cnf       2688    8896 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 48 6d67f76f114db9801952ed155e745e16-23_2.cnf       3808   12704 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 49 5b3d8a4465726adfcb58b9cdb1cc33f1-intervals...   2550   59684 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 50 52be8740aab896317320cd44a5d2af2f-intervals...   2572   61869 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 51 f08b3567642ea029452fff2c1d10c132-brent_15_...  17565   72961 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 52 bab57c8799cb05c8c1757c60d4ebdefd-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 53 2537f10a45d7ab430334dc1de6bfbdf0-SC23_Time... 250679  813258 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 54 d89718e39ff99638c2882b47988120cd-brent_63_...  75159  323392 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 55 a7bbcc6535cca5a37f015f29090e8797-grs-48-25... 898970 2562328 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 56 727cd7c528ac106f134cc882c9202108-15pipe_q0... 277976 10103924 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 57 385a678ba820d79c6fb5f497adaf32ec-grs-48-12... 289152  832046 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 58 46e119b7ff8d0781354bfe68139c99b5-grs-96-96... 259366  756532 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 59 89120de895868a3fccd74f30f78a5448-grs-192-1... 754446 2206824 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 60 028d0cc7af63e9bba5795f20e24db4f6-pyhala-br...   7383   24320     SAT     SAT       631.9s       103.7s     OK
 61 8fcc57f6c75cb2ac48d19e3038ad3c6c-asconhash... 127069  297372   UNSAT   UNSAT      1269.2s       602.7s     OK
 62 a811388cc92def6ef2d639dc062d456c-ContextMo...   9000   46780 TIMEOUT     SAT      5000.0s       358.3s    N/A
 63 d0fe6bf914469ca51675bac9078a2c0b-asconhash... 158850  373802 TIMEOUT     SAT      5000.0s       557.1s    N/A
 64 25b7a69d04a5029cf4ba2f483b5bec45-asconhash... 158664  373158 TIMEOUT     SAT      5000.0s       774.9s    N/A
 65 81d2158d506ea1049708837460b9387e-WS_400_24...    800   15201 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 66 1153a473e1d5dd21ccd33189d594a4aa-tseitin_d...  15000   40000 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 67 965ca988015c9aee5a1a7b2136c1fe5d-os_fwalk_...    288    3240 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 68 41457ee03686b32962c12445524f62a9-mchess18-...  26095    1281 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 69 e46bdd62b3789b64f7fbb3bd6c99484e-intervals...   2518   55499 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 70 fb5d0254bc4b8d258eb84ea1dbcdda13-mchess22-...  58317    1839 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 71 2a4680a801ad32ab8768030250daf0c8-ER_500_10...   1002   38878 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 72 72b5ad031bf852634bc081f9da9a5a60-GzipFile_...    187    1348 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 73 c9af5b23c87350f5d817acc9ca7b69bb-CNF_to_al...    252    2049 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 74 f090d0d6eaff3b92c817f5db6fa47544-intervals...   2867   71030 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 75 af5838e83024d2dee3942be8d8e35fec-TableMode...  14208  190528 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 76 20be6aa61af15fd53b4c48eb3f2f3319-27_1.cnf       4448   14880 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 77 bbf800109d039e117ed60593c185692c-ER_500_10...   1002   38698 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 78 385e2c7010a419a9bd47b9258c9d2903-tseitin_d...    300     800 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 79 53799aafcd0c684a2adc79400bd35f82-satcoin-g... 141429  646176 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 80 8a7a61a63a718e4dc5aba5426b31c063-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 81 5dc5185101e1d439d14f0a04acfa9bfb-28_2.cnf       4608   15424 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
