==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 293501
  Task Name   : large-2023
  Dataset     : Datasets/cdcl_dimacs/large/cnfs/2023
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Timeout     : 5000s
  Nodes       : 12  (32 cpus/node)
  Total Files : 296
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
185 8d31ec9edeac705ffd1b23f0cc4f3256-ContextMo...  13797   78642 TIMEOUT     SAT      5000.0s       662.6s    N/A
186 578b5e6a2f0b295168cb6c5420810a72-php18-mix...    526   10710 TIMEOUT   UNSAT      5000.0s       796.7s    N/A
187 2ef023ae6c46e4415734f9349a36d678-velev-pip...  24415  711050 TIMEOUT   UNSAT      5000.0s       943.4s    N/A
188 be5c82b97513a31e0b3bcc1c231018ad-asconhash... 138834  297281 TIMEOUT   UNSAT      5000.0s      1158.3s    N/A
189 fee70cede2b5b55bfbdb6e48fbe7ce4f-DLTM_twit...  34886  217180 TIMEOUT     SAT      5000.0s      1480.2s    N/A
190 83cf6bfa7945b54e8c4ac659d1a4359e-SC23_Time... 246715  800286 TIMEOUT     SAT      5000.0s      2530.8s    N/A
191 b5b1803491a265b02d595c1fb62d5991-intervals...   2329   55649 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
192 79391ed5a7f19b947cefe7af1178146a-21_1.cnf       3488   11616 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
193 dd169198070f9aa35015de65e8209a05-LZMAFile_...    192    1252 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
194 03a43a7ea55217f53542ed3f029963af-satch2way...  16883   50558 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
195 abe802007c9aed4eab2e758fb130174b-mp1-klieb...   9383   28084 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
196 71270454196ae092b28d0a74300a85e1-Schur_161...    755   27517 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
197 18416a9ac0909dce5fa96345f784c87e-intervals...   2568   57706 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
198 cd86fbfd8b7e0d66ec5fe8fe85c014d3-mchess22-...  58317    1883 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
199 a4b05fbc5be28207b704e1fae4b7c8a0-FileObjec...    228    1915 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
200 361290e60ab2a8ea9dccfcff65bf0778-satcoin-g... 141429  646176 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
201 ed76b075cdf07435c6e4f6203dd10cb7-SCPC-700-...    700   27527 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
202 4408f30395fb799e01b34b0dc7ee1d62-cliquecol...    329    9018 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
203 67904554c73addf89fe675bd8e494641-intervals...   2604   64331 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
204 22d0a2fdc65d884c2bbde56af9feba4a-intervals...   2379   52032 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
205 4fd2e4e6ecb4fe8d3f9e1fda81633469-brent_69_...  82460  361693 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
206 3e7dc7350195104b76b7d03ab5b0af8f-SC23_Time... 253201  823946 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
207 d5efaaee0197822c2676e45bac5068b2-SC23_Time... 249943  809626 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
208 f55acea8f0d207becbbbd26a11d97841-grs-48-16... 410624 1177806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
209 36c342091848d5d6a1a8eeb3a8b49b86-rovers1_k...    439    5423     SAT     SAT      861.5ms       55.3ms     OK
210 71bca76153c6ee65b72a517fd658a42d-iso-brn10...   3588   10984     SAT     SAT      798.2ms       96.5ms     OK
211 ae9522ea003ea9f75891b2d37a5e264b-srhd-sgi-...   1285  166723     SAT TIMEOUT       1.248s      5000.0s    N/A
212 ce49f590c98885f7ac95567f2b1e7dd5-CNP-5-110...  22585  167911 TIMEOUT     SAT      5000.0s        83.6s    N/A
213 ddd3b43476c18cf483aac233d4dc1c68-PRP_20_40... 123918  742348 TIMEOUT     SAT      5000.0s       219.7s    N/A
214 44ad104c3b0c83b4cfc260583dee2397-PRP_30_36... 167970 1003984 TIMEOUT     SAT      5000.0s       389.5s    N/A
215 291c2b4fa2d8b009cd2a8331891ba667-PRP_30_40... 186658 1117278 TIMEOUT     SAT      5000.0s       405.0s    N/A
216 303ba61141150f84b0d8b44839df59fd-REGRandom...   4608  474496 TIMEOUT   UNSAT      5000.0s       544.0s    N/A
217 d6402b482a5dc102a5b09360689e2be8-jkkk-one-...   6401   46366 TIMEOUT   UNSAT      5000.0s       821.2s    N/A
218 945d67baeb7860df648ab6ef4782d5ed-stb_792_3...   1584   17254 TIMEOUT     SAT      5000.0s      1491.5s    N/A
219 a64f3c1afd7e0f6165efbe9fc2fc8003-pmg-12-UN...    190     632 TIMEOUT   UNSAT      5000.0s      4484.0s    N/A
220 6aacae96461cb65176942b6dc88ea470-mchess20-...  39805    1513 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
221 8db36208fc6ce43b4002cf048c549b3f-WS_400_32...    800   20001 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
222 03e9d1abe418a1727bbf2ead77d69d02-php15-mix...    354    2938 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
223 246afd75cb97a21144f368c00252a656-BZ2File_w...    176    1149 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
224 ff867fd35aa52058382a8b0c21cd1f38-mchess20-...  39805    1549 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
225 9de6ddddf7fde06bf2efd955e2bd1a83-SCPC-700-...    700   27377 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
226 7aaf3275cbe217044ef305f0a1ca8eb5-CNFPlus_f...    348    4817 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
227 4fe42891b004d7425631a8edb4252d3f-32_0.cnf       5248   17600 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
228 eecdcc36d35f06224cc972cbb08de804-SCPC-1000...   1000   51003 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
229 3f4174289e971950c290f27892169bc5-intervals...   2598   62264 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
230 85240babab8083e1b381e2971d875ab8-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
231 c115ebeec47bb82fa7f9850a632ec94a-brent_71_...  84462  348775 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
232 1d1af993697599892804df5878d58979-brent_69_...  82539  366687 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
233 f88afbcd8b4c29a8c1b3518caa4e949c-cliquecol...    328    7199 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
234 0eb98926b26343d31954169dfbde2b24-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
235 57c305967b30c503da1737258e6cc7e5-6s20-sc20...  58614  175093 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
236 18babbd2835b8a37c6299f8b0301c7c9-brent_67_...  80042  349609 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
237 0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#...  10841   83711 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
238 b6c44ccb3174b7f0a69185b11de86cfa-grs-128-6... 190772  560798 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
239 587150fb7b12a6b5dd7e4a9446b9713b-iso-ukn00...   1890   12666     SAT     SAT       1.101s      286.8ms     OK
240 44b249f51321a2bf38f730534b781bec-c880_gr_r...   4592   61745     SAT     SAT       1.081s      590.4ms     OK
241 24b93d0bf941e4b050c9109e4cb7faf4-connm-ue-...    556    6427     SAT     SAT      20.163s      154.6ms     OK
242 30e680ded3b9be6be0b5baac273f2646-asconhash... 126959  297004   UNSAT   UNSAT      1248.2s       218.8s     OK
243 f02379d63678798e38dcc52b043cc51d-asconhash... 158745  373210 TIMEOUT     SAT      5000.0s       126.8s    N/A
244 8751f8d1570611ba079dfd862b14c514-SC23_Time... 250975  820712 TIMEOUT     SAT      5000.0s       156.9s    N/A
245 4ffb80a0ad8b753fee1492101ffcbdbb-REGRandom...   4608  825728 TIMEOUT   UNSAT      5000.0s       425.5s    N/A
246 06b138e8a6da806e88ac7da2919cef30-grs-192-3... 132826  392468 TIMEOUT   UNSAT      5000.0s      1053.6s    N/A
247 a6d7268b35eec18656a85ad91b0413e9-php17-mix...    460    8655 TIMEOUT   UNSAT      5000.0s      1058.3s    N/A
248 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf      5448   15994 TIMEOUT   UNSAT      5000.0s      1484.7s    N/A
249 3728fe50d8038c639c2d9c84e04fe2b1-46bits_11...    689   16922 TIMEOUT     SAT      5000.0s      1607.1s    N/A
250 f959755d7c68ea8b64d900e589fbe21f-g2-slp-sy...  94998  302862 TIMEOUT     SAT      5000.0s      1936.1s    N/A
251 3ff114cc7bee4f39fa56a0325e605c2d-stb_588_1...   1176   13650 TIMEOUT   UNSAT      5000.0s      2841.3s    N/A
252 0ef0d91d378eab41ba6fb9dfc9b87fc8-sat-bench... 1067515 4730117 TIMEOUT   UNSAT      5000.0s      3956.4s    N/A
253 953e9ff735bdf5ada27b0ab2b908b6af-WS_400_24...    800   15601 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
254 7b4622a3ab523264378a560199de47ed-ER_400_20...    802   49552 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
255 d7f381cd99ca40ba3324c8cc03a54269-mchess16-...  16278     965 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
256 29bab0de14e56e526be9683131005cb2-stb_588_1...   1176   13650 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
257 1eea3d913d346b900252d77fc0cb25c8-par32-4.s...   3176   10313 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
258 c1324a6876269ee93890e266fe214557-SCPC-800-...    800   33848 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
259 ae9b7950ef1513068bb9339893ec8c50-WCNF_to_a...    448    5562 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
260 cea96962ebd736646af54d950943d909-SCPC-800-...    800   33540 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
261 01966a0fc52b2200a13f5f835275a919-SGI_30_70...    810   68270 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
262 71cf538aa0751d27f144de9c8d82e458-TableMode...  10440  115620 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
263 8e30bfdb721ca0a20031c79a76f9aa7c-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
264 b6c6f1081dbb672e8294685d03326b09-intervals...   2496   56165 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
265 deef4e5f8bf88393cea9589dff97d70c-ContextMo...  36736  246104 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
266 9e18c079efdc17ceade5c7a330b507d2-SC23_Time... 250016  815871 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
267 6b2ccabf0304af478a558b8a333ced32-grs-192-2... 1436378 4172104 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
268 24bf910d2b9da558fb3e71a4dbe79ba3-lisa19_99...   1201    6563     SAT     SAT       6.486s       1.696s     OK
269 71dbf7ab78ef93c3d491c67752f03fd1-hwmcc10-t...  64138  181073   UNSAT   UNSAT      48.747s       1.430s     OK
270 cfc53adcc8ed18ca161bb6f8bc02b237-asconhash... 127091  297397   UNSAT   UNSAT       611.9s       287.9s     OK
271 075ca0a158690a55b7254d9aaee2e103-asconhash... 126995  297208   UNSAT   UNSAT      1484.3s       634.7s     OK
272 9631e4082abf03e560b889c5715d3979-PRP_30_41... 191450 1145084 TIMEOUT     SAT      5000.0s       195.6s    N/A
273 9f3ef12b5b68f92eb9265721ea73bb03-asconhash... 158682  373210 TIMEOUT     SAT      5000.0s       475.1s    N/A
274 29e101b66dfddb440e974b9feec5b1aa-spg_200_3... 321487 1576009 TIMEOUT   UNSAT      5000.0s      2375.4s    N/A
275 323223c497a22051f5a3ef508ccbaa7c-SC23_Time... 248425  807150 TIMEOUT     SAT      5000.0s      2651.5s    N/A
276 7d58f2f0c79cbcad0496ced184ba0680-TableSymM...   4680   39582 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
277 fab0db1ab0dd5baa3215aab51ab69355-brent_63_...  75001  315090 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
278 af1e84bc2ab44d87d1c4c0cbf9e601c5-posixpath...    392    4116 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
279 4611cd26b441b8c5866e4a2c5a7952dc-WS_400_24...    800   15601 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
280 c1b5c3d1016de7baeb0ddb3a2ab2d891-SCPC-900-...    900   41618 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
281 b86f2425cafeb1239d65bd529e372e02-ER_500_10...   1002   38764 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
282 37d40a1092b58ad28285b9453872d211-Decompres...    228    2023 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
283 87ec32f70c5e3a279e636f7f62e70a19-mchess22-...  58317    1927 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
284 df237594dc22b8f7cad2c4b38a23e40c-17_0.cnf       2848    9440 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
285 f0895a5904fb97278b7b54733ee1dabb-brent_63_...  74982  313001 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
286 4029fbae284eaf924b37b6f43d3a67fb-WCNF_from...    616   13134 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
287 524848d379582b63060ed43d3729b9f3-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
288 1f215812371f0c428eb1f1e51f9f23d7-20_2.cnf       3328   11072 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
289 1932e1e8f0c78372759909e45a19ecc7-brent_69_...  81990  332066 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
290 d84a89fb1bc1ff37dc4737867257b290-SCPC-800-...    800   33881 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
291 6bb485770dbc3943ea84933a03131958-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
292 a7a9ca7e06b6b1e979950ea96183d07d-rook-47-0... 108144  417259 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
293 10196804504080e7107809a2e5b3bfcc-ContextMo...  29610  186009 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
294 8f7cd9fb4b8852fdf9a21c606724c71a-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
295 5918f1624d4dfd964227356786a4e9ec-ContextMo...  41328  279099 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
296 01dd5feb463fa80f73809718f6ff735b-10pipe_q0...  77639 2082017 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A

==========================================================================================
  Summary
==========================================================================================
  Total instances       : 296
  Both agree            : 26
  Disagreements         : 0
  Both timeout          : 198
  CDCL faster           : 3 / 26
  MiniSat faster        : 23 / 26
  CDCL total time       : 24191.7s
  MiniSat total time    : 66531.3s
  Speedup (MS/CDCL)     : 2.75x
==========================================================================================
