==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 290866
  Total Files : 356
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 46 3498eea73b78ddc444cbee48b121c541-grs-64-16... 448832 1292158 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 47 da43a3ef0ef5d34143e765d480dedc7a-DivU_624_...    624  612150   UNSAT   UNSAT      4371.5s       268.0s     OK
 48 d0364ea3e1680c6da7e982e6b0264af6-new-diffi...    624   38944     SAT TIMEOUT      447.7ms      5000.0s    N/A
 49 70af2c3bfd44bcf9baa2a9605f4a17fe-gensys-ic...   1444    7479 TIMEOUT   UNSAT      5000.0s       110.8s    N/A
 50 79c109a8c1da53c6b636d3835f11a19d-grs-64-32...  56794  166548 TIMEOUT   UNSAT      5000.0s       675.5s    N/A
 51 2f219dfa21d996e1834aa247f934f304-grs-192-4... 192442  568516 TIMEOUT   UNSAT      5000.0s       895.9s    N/A
 52 02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#...   2672   16408 TIMEOUT   UNSAT      5000.0s      1146.5s    N/A
 53 428da12ab8f5f68ae261e6468c2fef73-TableSymM...  10440  115644 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 54 9c7043290cee8127c3626d8067759267-stb_531_8...   1062   19814 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 55 4fdcf4248a332c1c9a89d37439c879a9-or_randxo...   1040    6991 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 56 faeb113864d97ea4cb3f01f95d2fe92f-SCPC-800-...    800   33695 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 57 189e5991b041a89700513106988e720d-rphp_p20_...    800    7850 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 58 1f6cf91464c6a19022144774b162a3cc-ER_500_30...   1002  113965 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 59 c0069efa0c924e416878d9426f1ef92e-SCPC-900-...    900   41634 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 60 91b88d172a08e2a57c189bddff51bfd5-22_1.cnf       3648   12160 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 61 5b3d8a4465726adfcb58b9cdb1cc33f1-intervals...   2550   59684 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 62 0a4ed112f2cdc0a524976a15d1821097-cliquecol...    270    6663 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 63 2722f39c27dc45a989bb52761ed52e50-31_1.cnf       5088   17056 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 64 b2145c28dbed385329ea73a06d9c519a-LZMAFile_...    462    6403 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 65 eec821f866557886a5b0352332943fa2-SCPC-700-...    700   27278 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 66 a7bbcc6535cca5a37f015f29090e8797-grs-48-25... 898970 2562328 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 67 385a678ba820d79c6fb5f497adaf32ec-grs-48-12... 289152  832046 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 68 89120de895868a3fccd74f30f78a5448-grs-192-1... 754446 2206824 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 69 431bfb466be51ecd86b321b5cbce6d3c-mrpp_8x8#...   8918   72538   UNSAT   UNSAT       2.011s      835.0ms     OK
 70 028d0cc7af63e9bba5795f20e24db4f6-pyhala-br...   7383   24320     SAT     SAT       617.3s       101.9s     OK
 71 92387c29e87aa857e84feb301f3d6aff-rbsat-v76...    760   43649 TIMEOUT     SAT      5000.0s      18.419s    N/A
 72 303ba61141150f84b0d8b44839df59fd-REGRandom...   4608  474496 TIMEOUT   UNSAT      5000.0s       173.3s    N/A
 73 a811388cc92def6ef2d639dc062d456c-ContextMo...   9000   46780 TIMEOUT     SAT      5000.0s       327.3s    N/A
 74 d0fe6bf914469ca51675bac9078a2c0b-asconhash... 158850  373802 TIMEOUT     SAT      5000.0s      1191.6s    N/A
 75 db4a0d4ba26c46d66ad6cdcb0645a4d9-WS_500_16...   1000   13501 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 76 4fe42891b004d7425631a8edb4252d3f-32_0.cnf       5248   17600 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 77 7aaf3275cbe217044ef305f0a1ca8eb5-CNFPlus_f...    348    4817 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 78 20be6aa61af15fd53b4c48eb3f2f3319-27_1.cnf       4448   14880 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 79 70ce0cff914efdc48f2a8fe86b5c68c6-TableMode...  12432  164976 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 80 385e2c7010a419a9bd47b9258c9d2903-tseitin_d...    300     800 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 81 9de6ddddf7fde06bf2efd955e2bd1a83-SCPC-700-...    700   27377 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 82 b3840e295097a13e6697fff6be813eeb-php16-mix...    412    3654 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 83 275d36e3f246990dccd094e5e1442ba9-WS_500_32...   1000   25001 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 84 eecdcc36d35f06224cc972cbb08de804-SCPC-1000...   1000   51003 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 85 fb5d0254bc4b8d258eb84ea1dbcdda13-mchess22-...  58317    1839 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 86 5dc5185101e1d439d14f0a04acfa9bfb-28_2.cnf       4608   15424 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 87 8a7a61a63a718e4dc5aba5426b31c063-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 88 0ae0c5a4fb9001d63669a0aa5b592167-multiplie...   5776   17202 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
