==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 290866
  Total Files : 356
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
197 68649ac2830edad5d0dc7e3d13935132-SCPC-800-...    800   33758 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
198 f35ed23733431177436a1e7797c07dfe-SCPC-900-...    900   41714 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
199 46e119b7ff8d0781354bfe68139c99b5-grs-96-96... 259366  756532 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
200 bab57c8799cb05c8c1757c60d4ebdefd-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
201 727cd7c528ac106f134cc882c9202108-15pipe_q0... 277976 10103924 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
202 ae9522ea003ea9f75891b2d37a5e264b-srhd-sgi-...   1285  166723     SAT TIMEOUT      949.5ms      5000.0s    N/A
203 358fa8d20aa467c7e9b9bf34f73d1dc9-patat-08-...  78774 1618778 TIMEOUT     SAT      5000.0s      31.260s    N/A
204 1aa7cd96ab1f7bf58984deccf8362ab4-rand_net5...   6000   17901 TIMEOUT   UNSAT      5000.0s        60.5s    N/A
205 d6402b482a5dc102a5b09360689e2be8-jkkk-one-...   6401   46366 TIMEOUT   UNSAT      5000.0s       260.8s    N/A
206 72b5ad031bf852634bc081f9da9a5a60-GzipFile_...    187    1348 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
207 bbf800109d039e117ed60593c185692c-ER_500_10...   1002   38698 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
208 246afd75cb97a21144f368c00252a656-BZ2File_w...    176    1149 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
209 8db36208fc6ce43b4002cf048c549b3f-WS_400_32...    800   20001 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
210 965ca988015c9aee5a1a7b2136c1fe5d-os_fwalk_...    288    3240 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
211 6aacae96461cb65176942b6dc88ea470-mchess20-...  39805    1513 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
212 ff867fd35aa52058382a8b0c21cd1f38-mchess20-...  39805    1549 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
213 2a4680a801ad32ab8768030250daf0c8-ER_500_10...   1002   38878 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
214 03e9d1abe418a1727bbf2ead77d69d02-php15-mix...    354    2938 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
215 558ce551d2b933b7a5f1c7d2a6044930-collectio...    945   22923 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
216 e46bdd62b3789b64f7fbb3bd6c99484e-intervals...   2518   55499 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
217 cd118ff851f95661b2a3adfc3e393c74-Schur_160...    756   27689 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
218 00bb0b4ef28ed38c49de4c54b9fabc4d-25_2.cnf       4128   13792 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
219 3f4174289e971950c290f27892169bc5-intervals...   2598   62264 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
220 a45b60e53917968f922b97c6f8aa8db3-unsat-set...    205    4549 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
221 f4064d73fd6e69caf154046e61fea7b8-cliquecol...    387    9088 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
222 82fe0a5b2467d6e5299c315da8b16ec5-brent_51_...  60812  264896 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
223 48ac8814180bdc90bf96a4caea64dae2-intervals...   2478   56767 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
224 1153a473e1d5dd21ccd33189d594a4aa-tseitin_d...  15000   40000 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
225 24b93d0bf941e4b050c9109e4cb7faf4-connm-ue-...    556    6427     SAT     SAT      18.024s      160.4ms     OK
226 4989239fbeb6eb40fc0b664d9ba92636-asconhash... 126976  296954   UNSAT   UNSAT       571.9s       258.1s     OK
227 571a2f223784fb92a53b4cc8cc8b569e-clqcolor-...    132    1527   UNSAT   UNSAT      1035.8s      26.356s     OK
228 00f2eb377986e7decbc863931680a3b2-rand_net7...   5600   16661 TIMEOUT   UNSAT      5000.0s        93.1s    N/A
229 1b02025658c2a23e1fd3ce0a9c3633cb-asconhash... 158739  373741 TIMEOUT     SAT      5000.0s       107.5s    N/A
230 96ae6bde39369f75aa975b0f5b74c325-asconhash... 158736  373160 TIMEOUT     SAT      5000.0s       197.7s    N/A
231 06b138e8a6da806e88ac7da2919cef30-grs-192-3... 132826  392468 TIMEOUT   UNSAT      5000.0s       317.0s    N/A
232 f448874997bae64bd455fb00309dc738-asconhash... 127096  297418 TIMEOUT     SAT      5000.0s       395.7s    N/A
233 73063c6257a4ffc29f5bea7028403a64-mod2c-ran...    354    2596 TIMEOUT     SAT      5000.0s       762.2s    N/A
234 3ff114cc7bee4f39fa56a0325e605c2d-stb_588_1...   1176   13650 TIMEOUT   UNSAT      5000.0s      2579.3s    N/A
235 ae9b7950ef1513068bb9339893ec8c50-WCNF_to_a...    448    5562 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
236 d7f381cd99ca40ba3324c8cc03a54269-mchess16-...  16278     965 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
237 11db226d109e82f93aaa3b2604173ff9-posixpath...    351    4291 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
238 8e30bfdb721ca0a20031c79a76f9aa7c-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
239 835ac60ca83af6f334b64b61c4ad345b-tseitin_d...    240     640 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
240 a4941208671f6ebfd118e4e563538c31-SCPC-1000...   1000   51095 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
241 cd58fa8eba4046fd0a86642e1fe26cb9-intervals...   2501   58454 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
242 bc3a8bd47c5575c2f1b31882d28ee091-26_1.cnf       4288   14336 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
243 e51a98d78f61103e0672579e87cfd7e5-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
244 6b2ccabf0304af478a558b8a333ced32-grs-192-2... 1436378 4172104 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
245 35b19a3332597c1e5a3668f75ca72971-SC23_Time... 248899  807483 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
246 2b3de92685792ae19e4549b5c4571e27-crafted_n...  56064 15834160 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
247 24bf910d2b9da558fb3e71a4dbe79ba3-lisa19_99...   1201    6563     SAT     SAT       5.136s       1.677s     OK
248 075ca0a158690a55b7254d9aaee2e103-asconhash... 126995  297208   UNSAT   UNSAT       670.9s       192.0s     OK
249 00f4aca773e5675f35263dcd46b15bde-vmpc_28.s...    784  108080     SAT     SAT      1056.9s        69.5s     OK
250 1b86f59ce4c43f19f0ad1238f8c362b4-PRP_30_37... 172792 1032660 TIMEOUT     SAT      5000.0s       170.8s    N/A
251 578b5e6a2f0b295168cb6c5420810a72-php18-mix...    526   10710 TIMEOUT   UNSAT      5000.0s       755.6s    N/A
252 83cf6bfa7945b54e8c4ac659d1a4359e-SC23_Time... 246715  800286 TIMEOUT     SAT      5000.0s      2161.8s    N/A
253 2b7e863462991fd008f9898eca63ebf4-SC23_Time... 248213  803227 TIMEOUT     SAT      5000.0s      2417.3s    N/A
254 a4b05fbc5be28207b704e1fae4b7c8a0-FileObjec...    228    1915 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
255 8f7cd9fb4b8852fdf9a21c606724c71a-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
256 af1e84bc2ab44d87d1c4c0cbf9e601c5-posixpath...    392    4116 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
257 cd86fbfd8b7e0d66ec5fe8fe85c014d3-mchess22-...  58317    1883 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
258 e6d247292b525447a220323901842e4c-or_randxo...   1080    7287 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
259 96e01064ac3b644143278c21859e201f-brent_51_...  60512  245919 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
260 4029fbae284eaf924b37b6f43d3a67fb-WCNF_from...    616   13134 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
261 6bb485770dbc3943ea84933a03131958-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
262 d84a89fb1bc1ff37dc4737867257b290-SCPC-800-...    800   33881 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
263 751402d0738e5622b599c651283cb48a-SCPC-800-...    800   33665 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
264 bca01a49805df3399a0438191019e417-SCPC-700-...    700   27454 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
265 4a6a797c6b4a8055d10b74edda9a5e30-TableSymM...  14208  190560 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
266 361290e60ab2a8ea9dccfcff65bf0778-satcoin-g... 141429  646176 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
267 14a5ff0d6213dcfe182ec656764bbdfb-satcoin-g... 141429  646176 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
268 f55acea8f0d207becbbbd26a11d97841-grs-48-16... 410624 1177806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
269 578f9377bfbfcc6ea3a18eb630667956-ferry8_ks...   2547   32525 TIMEOUT     SAT      5000.0s      947.9ms    N/A
270 8fa526d20599ca8c3d613e9066d62e61-sat-bench... 618847 2697185 TIMEOUT   UNSAT      5000.0s       989.5s    N/A
271 3663000b31a5c80922afc6e48322accb-6s165.cnf      3098    8995 TIMEOUT   UNSAT      5000.0s      1171.4s    N/A
272 2537f10a45d7ab430334dc1de6bfbdf0-SC23_Time... 250679  813258 TIMEOUT     SAT      5000.0s      4050.0s    N/A
273 751afd7ddf8f242ed7bd93517ba82149-mchess20-...  39805    1585 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
274 1ce81dbba1292bf791e194b17aa2a219-satch2way...  15195   46499 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
275 15c53f73c62a78c24bf5974e4a7afcd8-18_1.cnf       3008    9984 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
276 2c9dc96b7a8b0410e64dd33f7e00a0c1-30_2.cnf       4928   16512 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
277 4d2f74ef97b6d40ebd71f85dcb75c543-tseitingr...   2240    8960 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
278 af3d5273605b21b9d4c56dd46cbf366a-SCPC-700-...    700   27275 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
279 0811f761eee5e4ef28196fd98884a67b-multiplie...   3728   11082 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
280 f57aba96bfed8f8a8b860eba1a8f1ea5-TableMode...   5976   60588 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
281 8403d03df1ce64af3bf7581449d320fb-brent_63_...  74886  305498 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
282 6d67f76f114db9801952ed155e745e16-23_2.cnf       3808   12704 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
283 017ba03ed108f492c9293c7c95e5cae9-multiplie...   4376   13018 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
284 d89718e39ff99638c2882b47988120cd-brent_63_...  75159  323392 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
285 bcd753d08904860fa93a794557185e04-SC23_Time... 251975  818495 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
286 97a17306a2882e0fd1aa3981a267df0d-SC23_Time... 249040  808838 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
287 cdd131110acc861a5a01fae6c4936c91-6g_6color...  77328 8485566 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
288 e966bddd11e46b735f8520f8304e368e-SC23_Time... 249224  807026 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
289 a552a058e6376a36b1f1b2724f228364-IBM_FV_20...  52444  217642 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
290 40ae60a61929b6bfa2ac99ab4b9a0f7e-grs-96-19... 688704 1988478 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
291 36c342091848d5d6a1a8eeb3a8b49b86-rovers1_k...    439    5423     SAT     SAT       1.099s       37.8ms     OK
292 8fcc57f6c75cb2ac48d19e3038ad3c6c-asconhash... 127069  297372   UNSAT   UNSAT      1239.2s       583.8s     OK
293 17039a3ed02ea12653ec5389e56dab50-pbl-00070...    257    7375   UNSAT   UNSAT      4133.8s      284.4ms     OK
294 ce49f590c98885f7ac95567f2b1e7dd5-CNP-5-110...  22585  167911 TIMEOUT     SAT      5000.0s       268.1s    N/A
295 25b7a69d04a5029cf4ba2f483b5bec45-asconhash... 158664  373158 TIMEOUT     SAT      5000.0s       275.7s    N/A
296 2d0c041c0fe72dc32527bfbf34f63e61-170223547...    322    1127 TIMEOUT     SAT      5000.0s       603.1s    N/A
297 bd0b055b890a9ace598a0c4aba40de30-sat-bench... 618715 2626081 TIMEOUT   UNSAT      5000.0s       769.7s    N/A
298 eaf2f0803dd2045f1b189ee834ef0c8f-rphp_p8_r...   4000  227133 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
299 a64f3c1afd7e0f6165efbe9fc2fc8003-pmg-12-UN...    190     632 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
300 85240babab8083e1b381e2971d875ab8-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
301 af5838e83024d2dee3942be8d8e35fec-TableMode...  14208  190528 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
302 758f9ed67b4d2068c209157335e07266-or_randxo...   1280    8636 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
303 f88afbcd8b4c29a8c1b3518caa4e949c-cliquecol...    328    7199 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
304 1d1af993697599892804df5878d58979-brent_69_...  82539  366687 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
305 9811b95bfd5888014d27e6dd384ff502-WS_500_16...   1000   13501 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
306 41457ee03686b32962c12445524f62a9-mchess18-...  26095    1281 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
307 4e64ffc14db014d5591f40865376c32a-satcoin-g... 141429  646176 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
308 d89f0a7a08f9b60579b26b01e2196394-intervals...   2348   51402 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
309 6e5efd19744842d1fa5415173bffbf6b-tseitin_d... 270000  720000 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
310 0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#...  10841   83711 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
311 0945c95ba9b82c32d12fc9d9e5229c5a-SC23_Time... 248145  803289 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
312 57c305967b30c503da1737258e6cc7e5-6s20-sc20...  58614  175093 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
313 587150fb7b12a6b5dd7e4a9446b9713b-iso-ukn00...   1890   12666     SAT     SAT      919.1ms       42.1ms     OK
314 909f704d5f4127c1197a086705468624-rbsat-v76...    760   43649 TIMEOUT     SAT      5000.0s       6.022s    N/A
315 096ac97e4261eabca440fc7bc135d7c0-SC23_Time... 248016  803998 TIMEOUT     SAT      5000.0s       132.3s    N/A
316 8751f8d1570611ba079dfd862b14c514-SC23_Time... 250975  820712 TIMEOUT     SAT      5000.0s       144.0s    N/A
317 a6d7268b35eec18656a85ad91b0413e9-php17-mix...    460    8655 TIMEOUT   UNSAT      5000.0s       255.4s    N/A
318 26114429758a203d651f4df87c94de4c-sgen1-uns...   7009   13996 TIMEOUT   UNSAT      5000.0s       314.7s    N/A
319 3728fe50d8038c639c2d9c84e04fe2b1-46bits_11...    689   16922 TIMEOUT     SAT      5000.0s       399.6s    N/A
320 bdc85226a8d910a8b7d6a8730c7a4572-PRP_40_40... 249398 1492208 TIMEOUT     SAT      5000.0s       454.7s    N/A
321 177a4ad8fd76ad8240387998112c3168-SC23_Time... 247375  798538 TIMEOUT     SAT      5000.0s       533.4s    N/A
322 f959755d7c68ea8b64d900e589fbe21f-g2-slp-sy...  94998  302862 TIMEOUT     SAT      5000.0s       642.0s    N/A
323 b09585f2346c207e9e14a3daf0de46cf-CNF_to_al...    231    1880 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
324 01966a0fc52b2200a13f5f835275a919-SGI_30_70...    810   68270 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
325 99d134de6323a845a2828596a48bbb1d-php17-mix...    460    4494 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
326 2e808d215e4155379a847b146ef38b34-goldcrest... 852822 2626667 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
327 41a8365f60db55b71d949df6954e0db7-FileObjec...    247    2073 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
328 78d23f235b63b1b7f08eb1b6cfb03f34-29_1.cnf       4768   15968 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
329 1eea3d913d346b900252d77fc0cb25c8-par32-4.s...   3176   10313 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
330 cea96962ebd736646af54d950943d909-SCPC-800-...    800   33540 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
331 eca3692344e30ae83a49158b5baf3372-brent_65_...  77577  335642 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
332 4f38f4b005cc54122135c8c21aec4b85-intervals...   2621   59571 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
333 d8f131a86243ef138af39abf52a479e5-SC23_Time... 249051  807916 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
334 6e9cae5108bd423666c73aaace197769-brent_51_...  60534  248804 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
335 911cbc796d15eb316d36c82c90fd7d11-c499_gr_2...   2070   22470     SAT     SAT      433.0ms      467.5ms     OK
336 cfc53adcc8ed18ca161bb6f8bc02b237-asconhash... 127091  297397   UNSAT   UNSAT       564.5s       177.0s     OK
337 9a413c250f82a93d513d4092ba654ee2-asconhash... 127008  297277   UNSAT   UNSAT       585.3s       184.7s     OK
338 705f6075b27775e03daf6e8d781cb953-shift1add... 636737 1128758   UNSAT   UNSAT      1798.3s      17.266s     OK
339 be5c82b97513a31e0b3bcc1c231018ad-asconhash... 138834  297281 TIMEOUT   UNSAT      5000.0s       355.4s    N/A
340 2ef023ae6c46e4415734f9349a36d678-velev-pip...  24415  711050 TIMEOUT   UNSAT      5000.0s       369.1s    N/A
341 b157aeb75aec9158fed9e16d7fd2da57-ContextMo...  15480   88110 TIMEOUT     SAT      5000.0s       877.3s    N/A
342 ed76b075cdf07435c6e4f6203dd10cb7-SCPC-700-...    700   27527 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
343 37d40a1092b58ad28285b9453872d211-Decompres...    228    2023 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
344 18416a9ac0909dce5fa96345f784c87e-intervals...   2568   57706 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
345 87ec32f70c5e3a279e636f7f62e70a19-mchess22-...  58317    1927 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
346 262009b8df6350761c7dfc8761f0af79-intervals...   2449   52709 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
347 1f215812371f0c428eb1f1e51f9f23d7-20_2.cnf       3328   11072 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
348 0a279c478775cdeede51ad431aebf200-24_0.cnf       3968   13248 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
349 5918f1624d4dfd964227356786a4e9ec-ContextMo...  41328  279099 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
350 a7a9ca7e06b6b1e979950ea96183d07d-rook-47-0... 108144  417259 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
351 79391ed5a7f19b947cefe7af1178146a-21_1.cnf       3488   11616 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
352 fab0db1ab0dd5baa3215aab51ab69355-brent_63_...  75001  315090 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
353 d8fa4265b93d0931ba6484e3cc0d7ab1-brent_13_...  15224   66011 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
354 01dd5feb463fa80f73809718f6ff735b-10pipe_q0...  77639 2082017 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
355 41c39c9a2d75ca50b603ea7c3d86106a-brent_63_...  75330  334611 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
356 4fd2e4e6ecb4fe8d3f9e1fda81633469-brent_69_...  82460  361693 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A

==========================================================================================
  Summary
==========================================================================================
  Total instances       : 356
  Both agree            : 33
  Disagreements         : 0
  Both timeout          : 240
  CDCL faster           : 2 / 33
  MiniSat faster        : 31 / 33
  CDCL total time       : 25158.1s
  MiniSat total time    : 59974.4s
  Speedup (MS/CDCL)     : 2.38x
==========================================================================================
